SY0001,不规范书写,身份证中性别与病历性别有误,病案首页--基本信息,1.0,除儿科,2018-09-06,启用,高,
SY0002,不规范书写,性别书写错误,病案首页--基本信息,1.0,产科,,启用,,
SY0003,不规范书写,新生儿出生体重未填写,病案首页--基本信息,1.0,通用,,启用,,
SY0004,不规范书写,新生儿入院体重未填写,病案首页--基本信息,1.0,儿科,,启用,,
SY0005,不规范书写,婚姻情况前后不一致,病案首页--就诊信息,1.0,通用,,启用,,
SY0006,手术操作名称填写有缺陷,<***>存在相同数据,病案首页--首页手术,0.5,通用,,启用,,
SY0007,手术操作名称栏目未填写,手术<***>未填写,病案首页--首页手术,2.0,通用,,启用,,
SY0009,手术操作名称填写有缺陷,手术与操作时间早于入院时间，或超过出院时间,病案首页--首页手术,0.5,通用,,启用,,
SY0011,手术操作名称填写有缺陷,手术与操作愈合等级未填写,病案首页--首页手术,0.5,通用,,启用,,
SY0012,手术操作名称填写有缺陷,切口等级为“I”，愈合等级却为“丙”,病案首页--首页手术,0.5,通用,,启用,,
SY0014,门（急）诊填写有缺陷,入院记录初步诊断不等于病案首页门急诊诊断,病案首页--门急诊诊断,0.5,通用,,启用,,
SY0015,门（急）诊填写有缺陷,门急诊诊断编码含“V\W\X\Y”,病案首页--门急诊诊断,0.5,通用,,启用,,
SY0016,病理诊断填写有缺陷,含病理报告且出院诊断编码含“C00~C97/D00~D48”，病理诊断却为空,病案首页--病理诊断,0.5,通用,,启用,,
SY0017,病理诊断填写有缺陷,非肿瘤类疾病，病理诊断不为空,病案首页--病理诊断,0.5,通用,,启用,,
SY0018,病理诊断填写有缺陷,出院首要诊断编码含“D00~D09”，病理诊断不为“M****/2”,病案首页--病理诊断,0.5,通用,,启用,,
SY0019,出院诊断填写有缺陷,出院诊断编码含“M******/*、M80”或含“V\W\X\Y”,病案首页--出院诊断,0.5,通用,,启用,,
SY0020,出院诊断填写有缺陷,出院诊断编码含“O80~O84\O00~O08”却不含诊断编码“Z37”,病案首页--出院诊断,0.5,通用,,启用,,
SY0021,出院诊断填写有缺陷,医保患者出院诊断编码含“F”,病案首页--出院诊断,0.5,通用,,启用,,
SY0022,出院诊断填写有缺陷,首次入院患者出院诊断编码含“Z”,病案首页--出院诊断,0.5,通用,,启用,,
SY0023,出院诊断填写有缺陷,诊断编码为“Z37”，出院科室不为产科,病案首页--出院诊断,0.5,通用,,启用,,
SY0032,不规范书写,年龄书写有误,病案首页--就诊信息,1.0,通用,,启用,,
SY0033,不规范书写,儿科年龄书写有误,病案首页--就诊信息,1.0,儿科,,启用,,
SY0034,不规范书写,联系与患者关系为夫妻，婚姻状态为未婚,病案首页--就诊信息,1.0,通用,,启用,,
SY0035,不规范书写,患者年龄与婚姻状态不相符,病案首页--就诊信息,1.0,通用,,启用,,
SY0036,不规范书写,病案首页职业信息与入院记录个人史职业信息不相符,病案首页--就诊信息,1.0,通用,,启用,,
SY0037,不规范书写,入院日期大于出院日期,病案首页--就诊信息,1.0,通用,,启用,,
SY0039,不规范书写,邮编位数非6位有效邮编,病案首页--就诊信息,1.0,通用,,启用,,
SY0041,不规范书写,出院主诊断编码“S01~S06”，颅脑损伤患者入院前/后昏迷时间为空,病案首页--就诊信息,1.0,通用,,启用,,
SY0042,不规范书写,医嘱离院、死亡患者与首页离院方式不相符,病案首页--就诊信息,1.0,通用,,启用,,
SY0043,不规范书写,有再住院计划无在住院目的,病案首页--就诊信息,1.0,通用,,启用,,
SY0047,出院诊断填写有缺陷,出院诊断出现含“M”的诊断编码,病案首页--出院诊断,0.5,通用,,启用,,
SY0048,门（急）诊填写有缺陷,门急诊诊断出现含“M”的诊断编码,病案首页--门急诊诊断,0.5,通用,,启用,,
SY0049,门（急）诊填写有缺陷,门急诊诊断出现“P10~P15”诊断编码，但年龄却大于28天,病案首页--门急诊诊断,0.5,通用,,启用,,
SY0050,出院诊断填写有缺陷,出院诊断出现“P10~P15”诊断编码，但年龄却大于28天,病案首页--出院诊断,0.5,通用,,启用,,
SY0051,门（急）诊填写有缺陷,门急诊诊断出现“J40”诊断编码，出院科室却为儿科,病案首页--门急诊诊断,0.5,通用,,启用,,
SY0052,出院诊断填写有缺陷,出院诊断出现“J40”诊断编码，出院科室却为儿科,病案首页--出院诊断,0.5,通用,,启用,,
SY0053,病理诊断填写有缺陷,出院首要诊断编码含“C77~C80”，病理诊断不为“M****/6”,病案首页--病理诊断,0.5,通用,,启用,,
SY0054,病理诊断填写有缺陷,出院首要诊断编码含“C00~C76”，病理诊断不为“M****/3”,病案首页--病理诊断,0.5,通用,,启用,,
SY0055,病理诊断填写有缺陷,出院首要诊断编码含“D10~D36”，病理诊断不为“M****/0”,病案首页--病理诊断,0.5,通用,,启用,,
SY0056,病理诊断填写有缺陷,出院首要诊断编码含“D37~D48”，病理诊断不为“M****/1”,病案首页--病理诊断,0.5,通用,,启用,,
SY0059,不规范书写,重症监护住院天数与特级护理天数不相符,病案首页--就诊信息,1.0,通用,,启用,,
SY0060,不规范书写,入ICU时间小于入院时间,病案首页--就诊信息,1.0,通用,,启用,,
SY0061,不规范书写,入ICU时间大于出院时间,病案首页--就诊信息,1.0,通用,,启用,,
SY0062,不规范书写,出ICU时间小于入ICU时间,病案首页--就诊信息,1.0,通用,,启用,,
SY0063,不规范书写,出ICU时间大于出院时间,病案首页--就诊信息,1.0,通用,,启用,,
SY0064,不规范书写,重症监护天数与重症监护进出明细不相符,病案首页--就诊信息,1.0,通用,,启用,,
RYJLZS0001,主诉描述有缺陷,主诉症状等无发生/持续时间,入院记录--主诉,1.0,通用,2018-06-28,启用,高,
RYJLZS0002,主诉描述有缺陷,主诉描述症状等与初步诊断疾病描述不符,入院记录--主诉,1.0,通用,2018-07-03,未启用,高,
RYJLZS0003,主诉描述有缺陷,主诉内容复制粘贴,入院记录--主诉,1.0,通用,2018-06-28,启用,高,
RYJLZS0004,主诉描述有缺陷,现病史症状加重时间，主诉未体现,入院记录--主诉,1.0,通用,2018-08-02,未启用,高,
